,n,standard runtime (s),strassen runtime (s)
0,10.0,0.005880117416381836,0.006392002105712891
1,11.0,0.007667064666748047,0.0069959163665771484
2,12.0,0.009550094604492188,0.006309032440185547
3,13.0,0.007913827896118164,0.006562948226928711
4,14.0,0.0064029693603515625,0.00857090950012207
5,15.0,0.006799221038818359,0.005423069000244141
6,16.0,0.0056438446044921875,0.007471799850463867
7,17.0,0.009697914123535156,0.0066339969635009766
8,18.0,0.005840778350830078,0.0055201053619384766
9,19.0,0.006654024124145508,0.006323814392089844
10,20.0,0.006505012512207031,0.004718780517578125
11,21.0,0.00550389289855957,0.005099058151245117
12,22.0,0.012901782989501953,0.011948108673095703
13,23.0,0.005819797515869141,0.005049228668212891
14,24.0,0.0056247711181640625,0.007982730865478516
15,25.0,0.006947040557861328,0.005541801452636719
16,26.0,0.006128787994384766,0.006165981292724609
17,27.0,0.005419731140136719,0.005433082580566406
18,28.0,0.005528688430786133,0.005774974822998047
19,29.0,0.005062103271484375,0.005740165710449219
20,30.0,0.007142782211303711,0.007486820220947266
21,31.0,0.0054950714111328125,0.005407810211181641
22,32.0,0.005509138107299805,0.005232810974121094
23,33.0,0.005471944808959961,0.005669832229614258
24,34.0,0.005422115325927734,0.005320310592651367
25,35.0,0.0056650638580322266,0.005137920379638672
26,36.0,0.005567073822021484,0.00522303581237793
27,37.0,0.018960952758789062,0.03103494644165039
28,38.0,0.008672952651977539,0.008362054824829102
29,39.0,0.009431123733520508,0.005350828170776367
30,40.0,0.00740814208984375,0.012361764907836914
31,41.0,0.006561994552612305,0.005637168884277344
32,42.0,0.005959272384643555,0.005259037017822266
33,43.0,0.005871295928955078,0.004992961883544922
34,44.0,0.005738019943237305,0.007063150405883789
35,45.0,0.008189916610717773,0.010573863983154297
36,46.0,0.0064699649810791016,0.0062389373779296875
37,47.0,0.006663799285888672,0.005276918411254883
38,48.0,0.0069751739501953125,0.0055921077728271484
39,49.0,0.006009817123413086,0.005798816680908203
40,50.0,0.005961894989013672,0.006842136383056641
41,51.0,0.0065691471099853516,0.006162881851196289
42,52.0,0.006685972213745117,0.005441904067993164
43,53.0,0.005921125411987305,0.005418062210083008
44,54.0,0.006006002426147461,0.005964040756225586
45,55.0,0.006325960159301758,0.0054988861083984375
46,56.0,0.00559687614440918,0.00642704963684082
47,57.0,0.0056760311126708984,0.006913661956787109
48,58.0,0.005468130111694336,0.005778312683105469
49,59.0,0.005909919738769531,0.007215023040771484
50,60.0,0.005942821502685547,0.013609886169433594
51,61.0,0.00978994369506836,0.0068628787994384766
52,62.0,0.010293722152709961,0.009164094924926758
53,63.0,0.008022069931030273,0.00669097900390625
54,64.0,0.009645700454711914,0.008105993270874023
55,65.0,0.006946086883544922,0.006582021713256836
56,66.0,0.007246732711791992,0.005796909332275391
57,67.0,0.006939888000488281,0.00571894645690918
58,68.0,0.005824089050292969,0.005697727203369141
59,69.0,0.006557941436767578,0.0064351558685302734
60,70.0,0.005903959274291992,0.006930828094482422
61,71.0,0.0062448978424072266,0.006741046905517578
62,72.0,0.006387233734130859,0.00551295280456543
63,73.0,0.006651163101196289,0.0057561397552490234
64,74.0,0.005972862243652344,0.0057070255279541016
65,75.0,0.005955219268798828,0.005858182907104492
66,76.0,0.0060269832611083984,0.005667924880981445
67,77.0,0.006161928176879883,0.005940914154052734
68,78.0,0.006030082702636719,0.005819797515869141
69,79.0,0.006412982940673828,0.005837917327880859
70,80.0,0.006372928619384766,0.006746053695678711
71,81.0,0.0061130523681640625,0.006392717361450195
72,82.0,0.00630497932434082,0.005990028381347656
73,83.0,0.006783008575439453,0.006173849105834961
74,84.0,0.006279945373535156,0.0060460567474365234
75,85.0,0.006433963775634766,0.006129026412963867
76,86.0,0.00660395622253418,0.006120920181274414
77,87.0,0.006298065185546875,0.006108999252319336
78,88.0,0.006452798843383789,0.006468057632446289
79,89.0,0.03454089164733887,0.008604288101196289
80,90.0,0.011448144912719727,0.006735086441040039
81,91.0,0.006652116775512695,0.00638890266418457
82,92.0,0.006540775299072266,0.006076335906982422
83,93.0,0.006451129913330078,0.006443023681640625
84,94.0,0.007814168930053711,0.006790876388549805
85,95.0,0.006777763366699219,0.00710296630859375
86,96.0,0.008671998977661133,0.009231805801391602
87,97.0,0.0073528289794921875,0.0070781707763671875
88,98.0,0.007091045379638672,0.006815910339355469
89,99.0,0.00732421875,0.007458209991455078
90,100.0,0.007407188415527344,0.006994009017944336
91,101.0,0.007065773010253906,0.0070569515228271484
92,102.0,0.006971120834350586,0.006886959075927734
93,103.0,0.007104158401489258,0.007580995559692383
94,104.0,0.007078886032104492,0.0068280696868896484
95,105.0,0.007038116455078125,0.006879091262817383
96,106.0,0.007512807846069336,0.007581949234008789
97,107.0,0.009155988693237305,0.007135868072509766
98,108.0,0.007316112518310547,0.007113218307495117
99,109.0,0.007615804672241211,0.007046937942504883
100,110.0,0.007619142532348633,0.007292985916137695
101,111.0,0.007476091384887695,0.007308006286621094
102,112.0,0.007610797882080078,0.007280826568603516
103,113.0,0.0075418949127197266,0.007356882095336914
104,114.0,0.00770115852355957,0.007745027542114258
105,115.0,0.007983207702636719,0.007892370223999023
106,116.0,0.008558988571166992,0.007810831069946289
107,117.0,0.008330106735229492,0.008064031600952148
108,118.0,0.008342981338500977,0.007857084274291992
109,119.0,0.008428096771240234,0.00866389274597168
110,120.0,0.010421037673950195,0.010658979415893555
111,121.0,0.010491132736206055,0.01631617546081543
112,122.0,0.012286186218261719,0.010157108306884766
113,123.0,0.009368896484375,0.009227991104125977
114,124.0,0.009037017822265625,0.009303808212280273
115,125.0,0.01076817512512207,0.009858846664428711
116,126.0,0.012237071990966797,0.05002427101135254
117,127.0,0.02093791961669922,0.008862018585205078
118,128.0,0.009637832641601562,0.009589195251464844
119,129.0,0.009874105453491211,0.009852886199951172
120,130.0,0.010224103927612305,0.00943899154663086
121,131.0,0.010283946990966797,0.009904861450195312
122,132.0,0.010053157806396484,0.009593963623046875
123,133.0,0.01066899299621582,0.008983135223388672
124,134.0,0.012228012084960938,0.012941837310791016
125,135.0,0.01510000228881836,0.013990163803100586
126,136.0,0.013154745101928711,0.015549898147583008
127,137.0,0.02402806282043457,0.018641233444213867
128,138.0,0.013592004776000977,0.013433694839477539
129,139.0,0.014161109924316406,0.013108968734741211
130,140.0,0.013078927993774414,0.013821125030517578
131,141.0,0.012615203857421875,0.013477087020874023
132,142.0,0.015386819839477539,0.015277862548828125
133,143.0,0.019231081008911133,0.016818761825561523
134,144.0,0.03368401527404785,0.013823986053466797
135,145.0,0.016312837600708008,0.014691829681396484
136,146.0,0.01692795753479004,0.013679265975952148
137,147.0,0.011342048645019531,0.01051187515258789
138,148.0,0.01616668701171875,0.01266026496887207
139,149.0,0.023568153381347656,0.023859262466430664
140,150.0,0.01579594612121582,0.015273332595825195
141,151.0,0.01659393310546875,0.027714967727661133
142,152.0,0.015251874923706055,0.013576030731201172
143,153.0,0.014346837997436523,0.014451980590820312
144,154.0,0.01475214958190918,0.013753890991210938
145,155.0,0.012937068939208984,0.012748003005981445
146,156.0,0.016003847122192383,0.01563405990600586
147,157.0,0.013132095336914062,0.01483011245727539
148,158.0,0.014709949493408203,0.014356851577758789
149,159.0,0.018418073654174805,0.017892837524414062
150,160.0,0.01659703254699707,0.015929222106933594
151,161.0,0.013589859008789062,0.013100147247314453
152,162.0,0.014827966690063477,0.013674020767211914
153,163.0,0.015126943588256836,0.014883041381835938
