,n,standard runtime (s),strassen runtime (s)
0,200.0,0.024446964263916016,0.02230215072631836
1,201.0,0.02504587173461914,0.02196025848388672
2,202.0,0.020756959915161133,0.020409822463989258
3,203.0,0.02505016326904297,0.022157907485961914
4,204.0,0.02101421356201172,0.019404172897338867
5,205.0,0.0209500789642334,0.024101734161376953
6,206.0,0.025043964385986328,0.021596193313598633
7,207.0,0.022816896438598633,0.022210121154785156
8,208.0,0.022565126419067383,0.023000001907348633
9,209.0,0.024402856826782227,0.04519510269165039
10,210.0,0.05796694755554199,0.03302788734436035
11,211.0,0.02480483055114746,0.0229949951171875
12,212.0,0.02404499053955078,0.024794816970825195
13,213.0,0.023086071014404297,0.023042917251586914
14,214.0,0.026213884353637695,0.03333568572998047
15,215.0,0.030120134353637695,0.02589702606201172
16,216.0,0.025339841842651367,0.0224916934967041
17,217.0,0.025407075881958008,0.0237119197845459
18,218.0,0.024061918258666992,0.021908044815063477
19,219.0,0.024709701538085938,0.023029088973999023
20,220.0,0.024565696716308594,0.023508071899414062
21,221.0,0.02475428581237793,0.02363896369934082
22,222.0,0.02464008331298828,0.026552677154541016
23,223.0,0.02802109718322754,0.05870985984802246
24,224.0,0.02674102783203125,0.02947211265563965
25,225.0,0.02719402313232422,0.024573326110839844
26,226.0,0.027544260025024414,0.02444911003112793
27,227.0,0.02658390998840332,0.02526998519897461
28,228.0,0.02571892738342285,0.024508953094482422
29,229.0,0.026197195053100586,0.02504897117614746
30,230.0,0.02783989906311035,0.028599977493286133
31,231.0,0.027610063552856445,0.02536320686340332
32,232.0,0.026916027069091797,0.025166034698486328
33,233.0,0.026936769485473633,0.031952857971191406
34,234.0,0.029736995697021484,0.026203155517578125
35,235.0,0.02752208709716797,0.026154041290283203
36,236.0,0.029284000396728516,0.02689504623413086
37,237.0,0.029310941696166992,0.02751779556274414
38,238.0,0.029368877410888672,0.060977935791015625
39,239.0,0.04609203338623047,0.030092954635620117
40,240.0,0.03012990951538086,0.02939915657043457
41,241.0,0.03010416030883789,0.028230905532836914
42,242.0,0.0298769474029541,0.02753591537475586
43,243.0,0.030228853225708008,0.029592037200927734
44,244.0,0.031207799911499023,0.028932809829711914
45,245.0,0.03180408477783203,0.02947211265563965
46,246.0,0.031238079071044922,0.02851104736328125
47,247.0,0.03129291534423828,0.02993321418762207
48,248.0,0.03424692153930664,0.031236886978149414
49,249.0,0.03227496147155762,0.030966997146606445
50,250.0,0.03226065635681152,0.03152632713317871
51,251.0,0.08164143562316895,0.04089498519897461
52,252.0,0.03980302810668945,0.03302502632141113
53,253.0,0.03557610511779785,0.03351283073425293
54,254.0,0.034499168395996094,0.03276681900024414
55,255.0,0.03584718704223633,0.035903215408325195
56,256.0,0.035948991775512695,0.0342869758605957
57,257.0,0.04056596755981445,0.04014992713928223
58,258.0,0.05319404602050781,0.03373599052429199
59,259.0,0.037374258041381836,0.034046173095703125
60,260.0,0.03755688667297363,0.03407621383666992
61,261.0,0.07718992233276367,0.03812718391418457
62,262.0,0.03810715675354004,0.03643488883972168
63,263.0,0.03811502456665039,0.03637504577636719
64,264.0,0.040029048919677734,0.03418111801147461
65,265.0,0.04065704345703125,0.03581094741821289
66,266.0,0.040194034576416016,0.037732839584350586
67,267.0,0.04165291786193848,0.03649115562438965
68,268.0,0.040704965591430664,0.03578686714172363
69,269.0,0.04095792770385742,0.03795003890991211
70,270.0,0.041680097579956055,0.03624725341796875
71,271.0,0.04265403747558594,0.03835868835449219
72,272.0,0.04178810119628906,0.037461042404174805
73,273.0,0.07917904853820801,0.05238199234008789
74,274.0,0.0466921329498291,0.0393218994140625
75,275.0,0.04284214973449707,0.04555392265319824
76,276.0,0.04448294639587402,0.0387880802154541
77,277.0,0.04375505447387695,0.04313993453979492
78,278.0,0.04664111137390137,0.040971994400024414
