,dim,size,total MST weight,avg edge weight,max edge weight,MST size,duration (s)
0,0.0,128.0,101.26503,0.00996085,0.0554097,127.0,0.01882791519165039
1,2.0,128.0,107.70933,0.0607034,0.119423,127.0,0.027307748794555664
2,3.0,128.0,1017.2637,0.135935,0.239019,127.0,0.031249046325683594
3,4.0,128.0,1028.9763,0.22816,0.395842,127.0,0.0297091007232666
4,0.0,256.0,101.33566,0.00523788,0.0295615,255.0,0.04893183708190918
5,2.0,256.0,1010.6031,0.0415809,0.113791,255.0,0.10158586502075195
6,3.0,256.0,1028.459,0.111604,0.210095,255.0,0.10567188262939453
7,4.0,256.0,1047.7909,0.187415,0.333689,255.0,0.10287165641784668
8,0.0,512.0,101.28428,0.00251327,0.0147479,511.0,0.1938638687133789
9,2.0,512.0,1014.9895,0.0293336,0.0896667,511.0,0.36160898208618164
10,3.0,512.0,1042.1627,0.0825102,0.182239,511.0,0.36543798446655273
11,4.0,512.0,1077.8663,0.15238,0.277861,511.0,0.3847689628601074
12,0.0,1024.0,101.24639,0.00121837,0.00785894,1023.0,0.7694799900054932
13,2.0,1024.0,1021.1789,0.0207027,0.0578316,1023.0,1.4439568519592285
14,3.0,1024.0,1067.3862,0.0658711,0.12486,1023.0,1.4952900409698486
15,4.0,1024.0,10130.729,0.12779,0.233957,1023.0,1.5542991161346436
16,0.0,2048.0,101.2018,0.000587104,0.00371144,2047.0,3.256596088409424
17,2.0,2048.0,1029.8428,0.0145788,0.03998,2047.0,6.0618040561676025
18,3.0,2048.0,10109.071,0.0532836,0.128723,2047.0,6.200384140014648
19,4.0,2048.0,10215.559,0.105305,0.194135,2047.0,6.411048889160156
20,0.0,4096.0,101.19641,0.000292165,0.00188615,4095.0,14.284521102905273
21,2.0,4096.0,1041.8103,0.0102101,0.0302626,4095.0,24.927011728286743
22,3.0,4096.0,10169.47,0.0413847,0.0949912,4095.0,25.73181700706482
23,4.0,4096.0,10361.286,0.0882261,0.171734,4095.0,26.70965814590454
24,0.0,8192.0,101.18453,0.000144614,0.00106581,8191.0,73.04924273490906
25,2.0,8192.0,1058.8956,0.00719028,0.0186886,8191.0,79.1700279712677
26,3.0,8192.0,10265.776,0.0324473,0.0733181,8191.0,65.75703072547913
27,4.0,8192.0,10604.363,0.0737838,0.163912,8191.0,69.32133603096008
