,dim,size,total MST weight,avg edge weight,max edge weight,MST size,duration (s)
0,0.0,128.0,1.27825,0.010065,0.0347169,127.0,0.5582902431488037
1,2.0,128.0,7.47185,0.0588335,0.134617,127.0,0.021456003189086914
2,3.0,128.0,17.257,0.135882,0.253808,127.0,0.0253450870513916
3,4.0,128.0,28.3722,0.223403,0.41464,127.0,0.02249908447265625
4,0.0,256.0,1.28021,0.00502043,0.0244681,255.0,0.034867048263549805
5,2.0,256.0,10.522,0.0412628,0.0995402,255.0,0.06668710708618164
6,3.0,256.0,27.2203,0.106746,0.197327,255.0,0.07002091407775879
7,4.0,256.0,47.0784,0.184621,0.312214,255.0,0.07349920272827148
8,0.0,512.0,1.2577,0.00246125,0.0174125,511.0,0.13104510307312012
9,2.0,512.0,14.8433,0.0290475,0.0896311,511.0,0.2621128559112549
10,3.0,512.0,43.8414,0.0857952,0.169239,511.0,0.26540112495422363
11,4.0,512.0,79.3237,0.155232,0.344809,511.0,0.2780799865722656
12,0.0,1024.0,1.23306,0.00120533,0.00884055,1023.0,0.5479168891906738
13,2.0,1024.0,20.9876,0.0205158,0.0485431,1023.0,1.0505108833312988
14,3.0,1024.0,67.9842,0.0664557,0.155424,1023.0,1.0989549160003662
15,4.0,1024.0,129.737,0.12682,0.25205,1023.0,1.180293321609497
16,0.0,2048.0,1.19032,0.000581493,0.00412505,2047.0,2.3550169467926025
17,2.0,2048.0,29.7851,0.0145506,0.0396887,2047.0,4.441583871841431
18,3.0,2048.0,106.583,0.0520677,0.123404,2047.0,4.520124912261963
19,4.0,2048.0,215.162,0.105111,0.225701,2047.0,4.772611856460571
20,0.0,4096.0,1.16249,0.000283881,0.00183034,4095.0,10.073008060455322
21,2.0,4096.0,41.9318,0.0102397,0.0278298,4095.0,18.499909162521362
22,3.0,4096.0,169.322,0.0413484,0.106043,4095.0,19.173730850219727
23,4.0,4096.0,361.49,0.0882759,0.17877,4095.0,19.988034963607788
