,dim,size,total MST weight,avg edge weight,max edge weight,MST size,duration (s)
0,0.0,65536.0,1.20459,1.83809e-05,0.00017908,65535.0,15.419049978256226
1,2.0,65536.0,1.20284,1.83542e-05,0.000159873,65535.0,17.324960947036743
2,3.0,65536.0,1.20214,1.83435e-05,0.000162208,65535.0,17.598870754241943
3,4.0,65536.0,1.20312,1.83584e-05,0.000151027,65535.0,16.77375078201294
4,0.0,131072.0,1.20174,9.16863e-06,9.68222e-05,131071.0,67.28848886489868
5,2.0,131072.0,1.20413,9.18683e-06,8.83555e-05,131071.0,84.11080694198608
6,3.0,131072.0,1.2024,9.17368e-06,8.53045e-05,131071.0,83.14453291893005
7,4.0,131072.0,1.20201,9.17065e-06,9.51095e-05,131071.0,79.78185176849365
