,dim,size,total MST weight,avg edge weight,max edge weight,MST size,duration (s)
0,0.0,2.0,0.57283,0.57283,0.57283,1.0,0.3151547908782959
1,2.0,2.0,0.231104,0.231104,0.231104,1.0,0.0061151981353759766
2,3.0,2.0,0.385194,0.385194,0.385194,1.0,0.0058629512786865234
3,4.0,2.0,0.786559,0.786559,0.786559,1.0,0.005542755126953125
4,0.0,4.0,1.43884,0.479614,0.560789,3.0,0.005999088287353516
5,2.0,4.0,1.04255,0.347516,0.540609,3.0,0.005774974822998047
6,3.0,4.0,1.03732,0.345772,0.385194,3.0,0.005658864974975586
7,4.0,4.0,1.53506,0.511688,0.575977,3.0,0.005644083023071289
8,0.0,8.0,1.86208,0.266011,0.422,7.0,0.0060842037200927734
9,2.0,8.0,1.73178,0.247398,0.445029,7.0,0.006684064865112305
10,3.0,8.0,2.30892,0.329846,0.42728,7.0,0.0058557987213134766
11,4.0,8.0,2.89218,0.413168,0.519879,7.0,0.005939960479736328
12,0.0,16.0,1.29348,0.0862317,0.264846,15.0,0.006931781768798828
13,2.0,16.0,2.42547,0.161698,0.344916,15.0,0.005806684494018555
14,3.0,16.0,3.68846,0.245897,0.42728,15.0,0.006022214889526367
15,4.0,16.0,5.0387,0.335913,0.453295,15.0,0.005349874496459961
16,0.0,32.0,1.6446,0.0530515,0.173397,31.0,0.005470991134643555
17,2.0,32.0,3.44492,0.111126,0.302265,31.0,0.007128000259399414
18,3.0,32.0,6.50579,0.209864,0.475435,31.0,0.005813121795654297
19,4.0,32.0,9.5963,0.309558,0.540642,31.0,0.006818056106567383
20,0.0,64.0,1.33536,0.0211962,0.0601982,63.0,0.007406949996948242
21,2.0,64.0,4.9957,0.0792969,0.253602,63.0,0.009198188781738281
22,3.0,64.0,10.3301,0.163969,0.338859,63.0,0.009290933609008789
23,4.0,64.0,16.7719,0.266221,0.485548,63.0,0.009130001068115234
24,0.0,128.0,1.07032,0.00842774,0.0404721,127.0,0.012380123138427734
25,2.0,128.0,7.5779,0.0596685,0.134548,127.0,0.020345211029052734
26,3.0,128.0,16.5353,0.130199,0.253558,127.0,0.020741939544677734
27,4.0,128.0,27.4337,0.216014,0.4557,127.0,0.021492958068847656
28,0.0,256.0,1.14976,0.00450886,0.0248501,255.0,0.03358197212219238
29,2.0,256.0,10.5309,0.0412977,0.0917302,255.0,0.06517291069030762
30,3.0,256.0,27.2,0.106667,0.268939,255.0,0.06806302070617676
31,4.0,256.0,45.4642,0.178291,0.354352,255.0,0.07070279121398926
32,0.0,512.0,1.17325,0.00229598,0.0104431,511.0,0.13057327270507812
33,2.0,512.0,14.7916,0.0289464,0.063763,511.0,0.2543351650238037
34,3.0,512.0,43.1013,0.0843469,0.202723,511.0,0.26387786865234375
35,4.0,512.0,77.4948,0.151653,0.268788,511.0,0.27140092849731445
36,0.0,1024.0,1.22769,0.00120009,0.00626488,1023.0,0.5247151851654053
37,2.0,1024.0,21.0071,0.0205348,0.0623868,1023.0,1.0711228847503662
38,3.0,1024.0,69.4004,0.0678401,0.135361,1023.0,1.0782451629638672
39,4.0,1024.0,128.349,0.125463,0.276847,1023.0,1.1129157543182373
40,0.0,2048.0,1.21152,0.000591852,0.00369572,2047.0,1.2404518127441406
41,2.0,2048.0,29.4698,0.0143966,0.0406608,2047.0,4.322915077209473
42,3.0,2048.0,107.871,0.052697,0.121712,2047.0,4.460198163986206
43,4.0,2048.0,214.654,0.104863,0.197726,2047.0,4.634571075439453
44,0.0,4096.0,1.21528,0.000296771,0.00202081,4095.0,2.853586196899414
45,2.0,4096.0,42.2048,0.0103064,0.0356887,4095.0,16.989709854125977
46,3.0,4096.0,169.981,0.0415093,0.0932198,4095.0,18.45408606529236
47,4.0,4096.0,363.445,0.0887534,0.174015,4095.0,19.360777854919434
48,0.0,8192.0,1.2101,0.000147735,0.00127716,8191.0,6.528591871261597
49,2.0,8192.0,58.8008,0.00717871,0.0212338,8191.0,51.07118797302246
50,3.0,8192.0,266.765,0.032568,0.0805628,8191.0,54.25765037536621
51,4.0,8192.0,602.973,0.0736141,0.147604,8191.0,60.99384593963623
52,0.0,16384.0,1.18512,7.23385e-05,0.000669769,16383.0,1.266495943069458
53,2.0,16384.0,4.4412,0.00169447,0.00256255,2621.0,131.8133738040924
54,3.0,16384.0,0.0732312,0.00271227,0.00340636,27.0,141.88273811340332
55,4.0,16384.0,0.0,,0.0,0.0,148.74506092071533
