,dim,size,total MST weight,avg edge weight,max edge weight,MST size,duration (s)
0,0.0,1024.0,1.17576,0.00114933,0.0083476,1023.0,0.08990597724914551
1,2.0,1024.0,1.2321,0.0012044,0.00829278,1023.0,0.09071207046508789
2,3.0,1024.0,1.2321,0.0012044,0.00829278,1023.0,0.09253811836242676
3,4.0,1024.0,1.2321,0.0012044,0.00829278,1023.0,0.08880019187927246
4,0.0,2048.0,1.20783,0.000590049,0.00373104,2047.0,0.2780749797821045
5,2.0,2048.0,1.20783,0.000590049,0.00373104,2047.0,0.28090786933898926
6,3.0,2048.0,1.20783,0.000590049,0.00373104,2047.0,0.27950382232666016
7,4.0,2048.0,1.2227,0.000597314,0.00342346,2047.0,0.2804250717163086
8,0.0,4096.0,1.20852,0.000295121,0.00178598,4095.0,0.9795818328857422
9,2.0,4096.0,1.19247,0.000291203,0.00215961,4095.0,0.954017162322998
10,3.0,4096.0,1.18343,0.000288993,0.00250495,4095.0,0.9825482368469238
11,4.0,4096.0,1.20074,0.000293221,0.00255769,4095.0,0.9606671333312988
12,0.0,8192.0,1.21859,0.000148771,0.00130481,8191.0,3.5665969848632812
13,2.0,8192.0,1.22261,0.000149263,0.00102153,8191.0,3.610377073287964
14,3.0,8192.0,1.1941,0.000145782,0.0010607,8191.0,3.7071690559387207
15,4.0,8192.0,1.2103,0.00014776,0.00108436,8191.0,4.547263145446777
16,0.0,16384.0,1.19951,7.32167e-05,0.000607489,16383.0,14.953098058700562
17,2.0,16384.0,1.2103,7.38756e-05,0.000714933,16383.0,18.75344181060791
18,3.0,16384.0,1.19986,7.32381e-05,0.000549292,16383.0,12.597929000854492
19,4.0,16384.0,1.19426,7.28961e-05,0.000676828,16383.0,12.13198208808899
