,dim,size,total MST weight,avg edge weight,max edge weight,MST size,duration (s)
0,0.0,16384.0,1.19599,7.30021e-05,0.000715647,16383.0,15.571545839309692
1,2.0,16384.0,83.453,0.00509388,0.0141952,16383.0,146.46707797050476
2,3.0,16384.0,422.462,0.0257866,0.0638703,16383.0,158.11189675331116
3,4.0,16384.0,1010.59,0.0616855,0.122198,16383.0,157.66454768180847
4,0.0,32768.0,1.20582,3.67998e-05,0.000376118,32767.0,36.136281967163086
5,2.0,32768.0,117.424,0.00358362,0.0107845,32767.0,555.8116979598999
6,3.0,32768.0,669.03,0.0204178,0.0519618,32767.0,582.9308412075043
7,4.0,32768.0,1686.75,0.051477,0.112057,32767.0,622.6061890125275
