,dim,size,total MST weight,avg edge weight,max edge weight,MST size,duration (s)
0,0.0,8192.0,1.20244,0.0001468,0.00117118,8191.0,4.131760120391846
1,0.0,8192.0,1.19935,0.000146423,0.00118079,8191.0,4.051234245300293
2,0.0,8192.0,1.21844,0.000148753,0.00115661,8191.0,4.08578085899353
3,0.0,8192.0,1.21248,0.000148026,0.00101661,8191.0,4.0455710887908936
4,0.0,8192.0,1.19168,0.000145487,0.00116258,8191.0,4.083838939666748
5,2.0,8192.0,59.068,0.00721133,0.0200062,8191.0,28.886976957321167
6,2.0,8192.0,59.1792,0.00722491,0.0198697,8191.0,29.116910219192505
7,2.0,8192.0,58.9228,0.0071936,0.0244757,8191.0,29.022817611694336
8,2.0,8192.0,58.855,0.00718533,0.0213179,8191.0,29.06149196624756
9,2.0,8192.0,59.0185,0.00720529,0.02932,8191.0,29.22099995613098
10,3.0,8192.0,268.012,0.0327203,0.075117,8191.0,31.293157815933228
11,3.0,8192.0,267.787,0.0326928,0.0851431,8191.0,30.7838237285614
12,3.0,8192.0,266.915,0.0325863,0.0810629,8191.0,30.66870617866516
13,3.0,8192.0,267.99,0.0327176,0.0724059,8191.0,30.70971393585205
14,3.0,8192.0,268.096,0.0327306,0.0748173,8191.0,30.711102962493896
15,4.0,8192.0,603.884,0.0737253,0.142266,8191.0,33.4437460899353
16,4.0,8192.0,602.444,0.0735496,0.148674,8191.0,33.62936878204346
17,4.0,8192.0,604.301,0.0737762,0.151287,8191.0,33.57245111465454
18,4.0,8192.0,604.618,0.0738149,0.151664,8191.0,33.702505111694336
19,4.0,8192.0,604.094,0.073751,0.162143,8191.0,33.49490427970886
